Título,Precio,Dormitorios,Baños,Tamaño,Propietario,Descripción,Fotos,Enlace
"Renta de apartamento en Zona 14, Santa Inés ...","$ 2,200",2,2.5,152 m2,Market Properties,"🏡 Apartamento en alquiler en Santa Inés del Parque, Zona 14 Disfruta de la comodidad en un...",8,https://mapainmueble.com/properties/renta-de-apartamento-en-zona-14-santa-ines-del-parque-de-2-dormitorios-daa43462/
Apartamento en alquiler zona 14 Santa Inés d...,"$ 2,200 + IVA",2,2.5,150 m2,Market Properties,Apartamento en Santa Inés del Parque zona 14 Sala – comedor – cocina – balcón integrado Sa...,10,https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-del-parque-daa42948/
Apartamento en alquiler zona 14 Santa Inés d...,"$ 3,499",3,3.5,252 m2,Market Properties,Apartamento en alquiler Santa ines zona 14 de 3 dormitorios Ubicado en edificio moderno de...,9,https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-de-3-habitaciones-amueblado-daa42144/
Apartamento en alquiler zona 14  de 3 dormit...,"$ 3,499",3,3.5,252 m2,Market Properties,Apartamento en alquiler zona 14 de 3 dormitorios Ubicado en edificio moderno de la zona 14...,12,https://mapainmueble.com/properties/apartamento-en-alquiler-santa-ines-zona-14-amueblado-de-3-dormitorios-daa41616/
RENTO APARTAMENTO EN ECHO ZONA 14 CERCA DE A...,"$ 2,500 MATTO INCLUIDO",2,2.5,146 m2,Negocios Integros,RENTO PRECIOSO APARTAMENTO EN EXCLUSIVO EDIFICIO ZONA 14 – ECHO Metraje 146.3812 m2 ...,11,https://mapainmueble.com/properties/rento-apartamento-en-echo-zona-14-cerca-de-avenida-las-americas-daa43741/
"Apartamento en Renta, Zona 14","$ 2,700",2,2.5,N/A,Valentina Barrientos,• 295 m2 de construcción • 2 Habitaciones • 2.5 Baños • 2 Parqueos Habitación 1 con: • Bal...,45,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43735/
APARTAMENTO AMUEBLADO 5TA AVENIDA 12-45 ZONA...,"$ 1,000",1,2,100 m2,ALQUILOGT,«ALQUILOGT CÓDIGO: 2493 EDIFICIO QUINTA BELLA NORTE – 1 Habitación y 2 baños –...,9,https://mapainmueble.com/properties/apartamento-amueblado-5ta-avenida-12-45-zona-14-de-1-hab-agt2493-daa43731/
Apartamento en Renta amoblado en Benevento Z...,$ 900,1,1.5,96 m2,Bertha Maria Chavarria,Apartamento en Renta amoblado en Benevento Z14 Guate Precio de Renta USD900 Se permite mas...,6,https://mapainmueble.com/properties/apartamento-en-renta-amoblado-en-benevento-z14-guate-daa43726/
ALQUILER EN EDIFICIO ATTICA,"$ 1,500",3,2.5,140 m2,V&R,140mt2 2 parqueos 2.5 baños 3 habitaciones Sala comedor cocina Sala familiar Lavanderia I...,51,https://mapainmueble.com/properties/alquiler-en-edificio-attica-daa43720/
Apartamento en Alquiler en zona 14 de 3 habi...,"$ 5,600 Mantenimiento incluido",3,3.5,342 m2,Jeniffer Zaldaña,CÓDIGO DE PROPIEDAD 1727 • 342.33 Mts. • 3 parqueos • Baño de visitas • Lavandería equipad...,45,https://mapainmueble.com/properties/apartamento-en-alquiler-en-zona-14-de-3-habitaciones-daa43717/
Alquiler de amplio Apartamento 2 dormitorios...,"$ 2,960",2,3,295 m2,DK Real Estate,"Alquiler de Amplio y Exclusivo Apartamento en Tadeus, Zona 14 Cuenta con: 295mt2 de constr...",17,https://mapainmueble.com/properties/alquiler-de-amplio-apartamento-2-dormitorios-en-tadeus-zona-14-daa43650/
RENTO APTO 2 HAB Z.14 EDIF. SANTORINI EUROPL...,$ 750 800,2,2,2 m2,Rafael Blanco,"RENTO APTO 2 HAB Z.14 EDIF. SANTORINI EUROPLAZA REF.6716 *92M2, 2 HAB, 2 BAÑOS, 2 PARQUEOS...",10,https://mapainmueble.com/properties/rento-apto-2-hab-z14-edif-santorini-europlaza-ref6716-caa13533/
"ALQUILER APARTAMENTO ZONA 14, AMUEBLADO",$ 875 VER DETALLES,1,1,72 m2,Karla Sánchez,"Alquiler de lindo apartamento amueblado y equipado en zona 14. Distribuído en 72m², cuenta...",10,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43705/
Zona 14 Europlaza,$ 850 incluye mantenimiento,2,2,67 m2,SDLinmobiliaria,"Z. 14 SANTORINI EUROPLAZA APARTAMENTO AMUEBLADO RENTA Amenidades: Salón social , Lobby , ...",4,https://mapainmueble.com/properties/zona-14-europlaza-caa13529/
Zona 14 apartamento Bonaire en renta,"$ 1,100",3,2.5,225 m2,Verónica Leal,Iluminado y amplio apartamento en zona 14 Edificio Bonaire Cerca de Europlaza cerca de 5a ...,14,https://mapainmueble.com/properties/zona-14-apartamento-bonaire-en-renta-caa13528/
Zona 14 | Apto 1 Habitación en ALQUILER,$ 850 Poco Negociables + IVA,1,1,100 m2,RicardoFish – Valeria Maza,Precioso Apartamento en Zona 14 en ALQUILER!! – Excelente Ubicación (atrás de Plaza ...,14,https://mapainmueble.com/properties/zona-14-apto-1-habitacion-en-alquiler-caa13527/
"ALQUILER APARTAMENTO ZONA 14, AMUEBLADO","$ 1,950 VER DETALLES",2,2.5,228 m2,Karla Sánchez,Alquiler de lindo y amplio apartamento amueblado y equipado en excelente sector de zona 14...,45,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43706/
"ALQUILER APARTAMENTO ZONA 14, LAS CONCHAS","$ 2,100 VER DETALLES",2,2,290 m2,Karla Sánchez,Descripción ALQUILO LINDO APARTAMENTO DE 2 DORMITORIOS EN LAS CONCHAS ZONA 14 Cuenta con 2...,45,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-las-conchas-caa13525/
"ALQUILER APARTAMENTO ZONA 14, ECHO","$ 2,500 VER DETALLES",2,2.5,146 m2,Karla Sánchez,"Alquiler de exclusivo apartamento en zona 14, distribuído en 146.38m2, cuenta con sala, co...",26,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-echo-daa43704/
Apartamento de 3 dormitorios ZONA 14 Attica,"$ 1,250 Mas IVA",3,2,139 m2,THE ONE Bienes Raices,Zona 14 Attica Alquilo Apartamento 3 dormitorios • 3 dormitorios • 139 Mts • Baño de Visit...,12,https://mapainmueble.com/properties/apartamento-de-3-dormitorios-zona-14-attica-daa43681/
"Zona 14 Tadeus, alquilo apartamento","$ 2,700 mas IVA",2,2.5,295 m2,Mariela Lam,295m2 2 habitaciones con baño Sala familiar Estudio Amplias sala-comedor- cocina Pantry Ba...,16,https://mapainmueble.com/properties/zona-14-tadeus-alquilo-apartamento-daa43680/
RENTO APTO AMUEBLADO 2 HAB Z.14 SANTORINI EU...,$ 900,2,2,70 m2,Rafael Blanco,"RENTO APTO AMUEBLADO 2 HAB Z.14 SANTORINI EUROPLAZA REF.6726 *70M2, 2 HAB, 2 BAÑOS, 2 PARQ...",6,https://mapainmueble.com/properties/rento-apto-amueblado-2-hab-z14-santorini-europlaza-ref6726-70m2-2-hab-2-banos-2-parqueos-900-caa13519/
Rento apartamento en Tadeus Zona 14,"$ 2,200 Ma IVA",2,2,295 m2,THE ONE Bienes Raices,ZONA 14 Alquiler de Apartamento de 2 Dormitorios en TADEUS 295 mts2 2 habitaciones 295 m2 ...,14,https://mapainmueble.com/properties/rento-apartamento-en-tadeus-zona-14-daa43678/
Ampio apartamento en renta con 2 terrazas y ...,"$ 2,800",2,2.5,240 m2,Home Team Guatemala,Apartamento con 2 terrazas y patio en renta en zona 14: -240m2 habitables -Moderno y ampli...,45,https://mapainmueble.com/properties/ampio-apartamento-en-renta-con-2-terrazas-y-patio-en-zona-14-daa43677/
Amplio Apartamento  en renta  en zona 14,"$ 2,800",2,2,240 m2,Maricarmen Sánchez,Amplio apartamento en renta Zona 14 Edificio de 5 niveles y solo tiene 6 apartamentos en t...,10,https://mapainmueble.com/properties/amplio-apartamento-en-renta-en-zona-14-daa43676/
"Hermoso apartamento en alquiler, Aoki, Zona ...",$ 775,1,1.5,N/A,INMOBILIARIA PROYMERCA,Distribución en Mts2: Área habitable 62.75Mts Área de bodega 4.23Mts Área 1 parqueo 14.07M...,12,https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-aoki-zona-14-caa13511/
Zona 14 apartamento amueblado,"$ 1,950 con iva incluido",2,2.5,228 m2,SDLinmobiliaria,Apartamento renta Edificio Quinta Avenida Zona 14 cerca Europlaza Construcción: 228.47 m2 ...,9,https://mapainmueble.com/properties/zona-14-apartamento-amueblado-daa43666/
Apartamento en renta Edificio Tadeus zona 14,"$ 2,970",2,2.5,295 m2,Ximena Contreras Segovia,Apartamento en renta Edificio Tadeus Zona 14 – Descripción: – 2 habitaciones &...,13,https://mapainmueble.com/properties/apartamento-en-renta-edificio-tadeus-zona-14-daa43665/
"Hermoso apartamento en alquiler, Tadeus Zona...","$ 2,200",2,2.5,295 m2,INMOBILIARIA PROYMERCA,▪295 Mts2 ▪Nivel bajo 2 Dormitorios con baño cada uno 2 Balcones 2.5 Baños Sala | Comedo...,11,https://mapainmueble.com/properties/hermoso-apartamento-en-alquiler-tadeus-zona-14-caa13508/
ALQUILO APARTAMENTO AMUEBLADO  Z.14,"$ 1,950 INCLUYE MANTTO E IVA",2,2.5,228 m2,Negocios Integros,Apartamento en Alquiler Edificio Quinta Avenida Zona 14 Construcción: 228.47 m2 Amueblado ...,13,https://mapainmueble.com/properties/alquilo-apartamento-amueblado-z14-caa13507/
Apartamento Amueblado de 1 dormitorio en Zon...,$ 875 IVA incluido,1,1,70 m2,THE ONE Bienes Raices,Zona 14 Apartamento Amueblado de 1 dormitorio Edificio Cobella • 70 mts2 • 1 dormitorio co...,9,https://mapainmueble.com/properties/apartamento-amueblado-de-1-dormitorio-en-zona-14-daa43662/
Apartamento Amueblado en Zona 14,"$ 1,950 IVA incluido",2,2,228 m2,THE ONE Bienes Raices,Zona 14 Apartamento Amueblado 2 Dormitorios • 228 m2 de Construccion • Dormitorio principa...,8,https://mapainmueble.com/properties/apartamento-amueblado-en-zona-14-daa43661/
"Apartamento en Renta en Edificio Tadeus, zon...","$ 2,200 $",2,2,295 m2,Inmuebles 180,Características del apartamento: • Nivel medio • 2 balcones con excelentes vistas • 295 m2...,17,https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-tadeus-zona-14-ciudad-de-guatemala-caa13501/
Exclusivo  apartamento  en renta Tiffany zon...,"$ 3,200",3,2.5,202 m2,Maricarmen Sánchez,"Exclusivo y amplio Apartamento en renta Z 14 Más 1 Área 203.133 m2 Parqueos 3 Bodega $3,20...",9,https://mapainmueble.com/properties/exclusivo-apartamento-en-renta-tiffany-zona-14-caa13500/
APARTAMENTO ALQUILER ATTICA 2,"$ 1,500",2,3.5,193 m2,Juan Carlos Ramirez,193 metros más Parqueos Baño de Visitas Dos Habitaciones Amplias con Baño Sala Comedor Coc...,4,https://mapainmueble.com/properties/apartamento-alquiler-attica-2-daa43655/
"ALQUILER APARTAMENTO ZONA 14, AMUEBLADO","$ 1,800 VER DETALLES",2,2,125 m2,Karla Sánchez,Alquilo apartamento amueblado y equipado en zona 14. Ubicado en uno de los edificios más e...,45,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43643/
"ALQUILER APARTAMENTO ZONA 14, AMUEBLADO","$ 1,800 VER DETALLES",2,2,125 m2,Karla Sánchez,Alquilo apartamento amueblado y equipado en zona 14. Ubicado en uno de los edificios más e...,45,https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43643/
APARTAMENTO EN RENTA ZONA 14 SANTA INES DEL ...,"$ 2,200",2,2.5,160 m2,Claudia Santiago,APARTAMENTO EN RENTA ZONA 14 EDIFICIO SANTA INES DEL PARQUE Área de construcción: 159.93 m...,14,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-santa-ines-del-parque-daa43641/
APARTAMENTO EN RENTA ZONA 14,"$ 2,200",2,2.5,295 m2,Claudia Santiago,"APARTAMENTO EN RENTA EN ZONA 14, EDIFICIO TADEUS Renta $ 2,200 +IVA + mantenimiento (Q3,95...",9,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43639/
"Apartamento en renta en Tadeus, zona 14.","$ 2,800",2,2.5,295 m2,Ana Arenales,Amplio apartamento en alquiler en Tadeus. CARACTERÍSTICAS GENERALES · Sala · Comedor · 2 b...,11,https://mapainmueble.com/properties/apartamento-en-renta-en-tadeus-zona-14-daa43636/
Apartamento en Renta Zona 14,"$ 2,200 USD",2,2.5,295 m2,Carla Peraza,Apartamento en Renta En Edificio Tadeus Zona 14 Nivel medio 2 balcones con excelentes Vist...,8,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43631/
APARTAMENTO EN RENTA TADEUS ZONA 14,"$ 2,700 mas iva",2,2.5,295 m2,Michelle Ramirez,"Apartamento de 295 mts2 en renta. Descripción: 2 habitaciones, 2.5 baños, sala familiar, e...",14,https://mapainmueble.com/properties/apartamento-en-renta-tadeus-zona-14-daa43629/
RENTA APARTAMENTO BENEVENTO,$ 900 AMOBLADO,1,1,96 m2,Carmen Moreno,Código interno: PAC-003-03-22 Agente: Carmen Moreno Teléfono: 3757 2904 Correo: c.moreno@c...,7,https://mapainmueble.com/properties/renta-apartamento-benevento-daa43626/
Apartamento en ECHO zona 14,"$ 2,500 mant incluido + iva",2,2.5,145 m2,AcBienes Raices,145mts habitable Nivel bajo Sala-comedor-cocina integrados y balcón amplio 1 baño de visit...,13,https://mapainmueble.com/properties/apartamento-en-echo-zona-14-daa43616/
APARTAMENTO RENTA ZONA 14,"$ 2,200 Mant incluido",2,2.5,152 m2,María José Alonso,*RENTA APTO SANTA INÉS* *Z14* 152 mts 2 habitaciones 2.5 baños Sala familiar Balcón con vi...,5,https://mapainmueble.com/properties/apartamento-renta-zona-14-caa13492/
Apartamento en Renta y Venta Zona 14,"$ 2,500",2,2.5,146 m2,COINMSA Guatemala,"• 146.38 m2 • Baño de visitas • Sala, comedor • Cocina abierta con gabinetes y línea blanc...",45,https://mapainmueble.com/properties/apartamento-en-renta-y-venta-zona-14-daa43607/
Apartamento Amueblado en Renta Zona 14 codig...,$ 900,2,1,70 m2,Ambiente Inmobiliario,"Área de construcción 70 m2 Equipado completo Pasillo de ingreso Sala, Comedor Cocina 2 Hab...",6,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-codigoca34654-caa13491/
Apartamento en renta zona 14 Área de Las Amé...,"$ 2,200",2,2.5,160 m2,Conexión Conexión Inmobiliaria GT,"Sala, comedor Cocina Amplio balcón Dormitorio de servicio lavandería Baño de visita Sala f...",13,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-area-de-las-americas-daa43589/
Apartamento Amueblado en renta zona 14 Tiffa...,"$ 1,850",2,2,125 m2,Conexión Conexión Inmobiliaria GT,"Apartamento Amueblado en renta zona 14 Tiffany 5ta.Avenida Sala, comedor Cocina Lavandería...",13,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-tiffany-5taavenida-daa43586/
Apartamento en Zona 14 en Renta,"$ 2,200",2,2.5,195 m2,Cynthia Roldan,"Apartamento en Renta En excelente ubicacion en zona 14, 2 habitaciones con bano y walking-...",8,https://mapainmueble.com/properties/apartamento-en-zona-14-en-renta-daa43582/
APARTAMENTO EN ALQUILER PARQUE 14,"$ 1,200",3,2,102 m2,Juan Carlos Ramirez,Consta de:102 metros mas 2 parqueos  3 habitaciones 2 baños Sala / Comedor Cocina Lavander...,4,https://mapainmueble.com/properties/apartamento-en-alquiler-parque-14-daa43570/
Apto en renta en SANTA INÉS DEL PARQUE zona ...,"$ 2,200 mas iva",2,2.5,160 m2,Marlenne Hage,"Precioso apto de esquina, nivel medio con vistas despejadas. mide 160m2, consta de sala y ...",48,https://mapainmueble.com/properties/apto-en-renta-en-santa-ines-del-parque-zona-14-daa43567/
APARTAMENTO EN RENTA ZONA 14,"$ 2,200",2,2.5,160 m2,Monica Gomez,📍Apartamento en Renta en zona 14; EDIFICIO SANTA INES DEL PARQUE 📲Citas al: 4859-376 Preci...,45,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43564/
RENTO APTO 2 HAB Z.14 EDIF. SANTORINI EUROPL...,$ 750 800,2,2,96 m2,Rafael Blanco,"RENTO APTO 2 HAB Z.14 EDIF. SANTORINI EUROPLAZA REF.6716 *92M2, 2 HAB, 2 BAÑOS, 2 PARQUEOS...",10,https://mapainmueble.com/properties/rento-apto-2-hab-z14-edif-santorini-europlaza-ref6716-92m2-2-hab-2-banos-2-parqueos-linea-blanca-750-caa13484/
"Alquiler de apartamento de 3 dormitorios, At...","$ 1,625",3,3,139 m2,DK Real Estate,Alquiler de céntrico apartamento de 3 dormitorios en Attica Zona 14 Cuenta con: 139mt2 de ...,15,https://mapainmueble.com/properties/alquiler-de-apartamento-de-3-dormitorios-attica-zona-14-daa42956/
Se renta increíble Pent House en AVITA zona ...,"$ 7,500",4,5,809 m2,Immobili Real Estate,Pent House en AVITA más de 800 mt2 en venta y renta Área de apartamento 809mts2: 614mts de...,17,https://mapainmueble.com/properties/se-renta-increible-pent-house-en-avita-zona-14-daa43560/
Apartamento en Renta zona 14 la Villa,"$ 1,000",2,2,106 m2,Francisco Estrada,Apartamento en renta dentro de completo familiar ubicado en zona 14. 106 mts2: 2 habitacio...,5,https://mapainmueble.com/properties/apartamento-en-renta-zona-14-la-villa-daa43557/
Apartamento amueblado en Renta Zona 14,"$ 1,800",2,2.5,N/A,Bienes Cima,Apartamento céntrico en zona 14,38,https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43545/
Apartamento en alquiler amueblado zona 14,$ 900,2,2,120 m2,Inmobiliaria Casa Yune,Apartamento en renta zona 14 Santorini Amueblado y equipado En el corazón de zona 14 70 me...,6,https://mapainmueble.com/properties/apartamento-en-alquiler-amueblado-zona-14-daa43541/
Zona 14 cerca Europlaza,$ 875 con  iva y mantenimiento,1,1,72 m2,SDLinmobiliaria,"Apartamento en renta Edificio cerca Europlaza, zona 14 Precio $875.00 con IVA y mantenimie...",1,https://mapainmueble.com/properties/zona-14-cerca-europlaza-daa43533/
Apartamento en Garces De La Villa  La villa ...,$ 805 DOLARES,3,2,89 m2,ALQUILOGT,CÓDIGO 1888 GARCES DE LA VILLA – 3 Habitaciones y 2 baños – Cocina SIN línea b...,6,https://mapainmueble.com/properties/apartamento-en-garces-de-la-villa-la-villa-zona-14-de-3-habitaciones-agt1888-daa27200/
EN VENTA O RENTA  APARTAMENTO DE 3 HABITACIO...,"$ 1,150 mantenimiento incluido",3,2,88 m2,Maria Teresa Gochez,Edificio residencial moderno con ubicación privilegiada. 88 Mts.2 de apartamento más dos p...,10,https://mapainmueble.com/properties/en-venta-o-renta-apartamento-de-3-habitaciones-en-la-villa-zona-14-daa43530/
Apartamento en Renta en Santa Inés del Parqu...,"$ 2,200",2,2,159 m2,ÉCLAT ESTATE REAL ESTATE,"Apartamento En Renta en Santa Inés Del Parque, Zona 14. Apartamento en renta de 159.93 m² ...",12,https://mapainmueble.com/properties/apartamento-en-renta-en-santa-ines-del-parque-zona-14-daa43526/
